"review_group","review_words","word_count","count_normalise","game"
"Negative reviews","cultures",110,0.00252710898731851,"Crusader Kings III: Royal Court"
"Negative reviews","feel",110,0.00252710898731851,"Crusader Kings III: Royal Court"
"Negative reviews","overpriced",106,0.00243521411505238,"Crusader Kings III: Royal Court"
"Negative reviews","10",105,0.00241224039698585,"Crusader Kings III: Royal Court"
"Negative reviews","features",105,0.00241224039698585,"Crusader Kings III: Royal Court"
"Negative reviews","feels",105,0.00241224039698585,"Crusader Kings III: Royal Court"
"Negative reviews","got",105,0.00241224039698585,"Crusader Kings III: Royal Court"
"Negative reviews","base",104,0.00238926667891932,"Crusader Kings III: Royal Court"
"Negative reviews","something",102,0.00234331924278625,"Crusader Kings III: Royal Court"
"Negative reviews","nothing",100,0.00229737180665319,"Crusader Kings III: Royal Court"
"Negative reviews","nice",99,0.00227439808858666,"Crusader Kings III: Royal Court"
"Negative reviews","year",98,0.00225142437052013,"Crusader Kings III: Royal Court"
"Negative reviews","half",97,0.00222845065245359,"Crusader Kings III: Royal Court"
"Negative reviews","long",95,0.00218250321632053,"Crusader Kings III: Royal Court"
"Negative reviews","feature",94,0.002159529498254,"Crusader Kings III: Royal Court"
"Negative reviews","better",92,0.00211358206212093,"Crusader Kings III: Royal Court"
"Negative reviews","years",92,0.00211358206212093,"Crusader Kings III: Royal Court"
"Negative reviews","see",91,0.0020906083440544,"Crusader Kings III: Royal Court"
"Negative reviews","tag",91,0.0020906083440544,"Crusader Kings III: Royal Court"
"Negative reviews","part",90,0.00206763462598787,"Crusader Kings III: Royal Court"
"Negative reviews","fun",88,0.00202168718985481,"Crusader Kings III: Royal Court"
"Negative reviews","think",88,0.00202168718985481,"Crusader Kings III: Royal Court"
"Negative reviews","edition",87,0.00199871347178827,"Crusader Kings III: Royal Court"
"Negative reviews","enough",87,0.00199871347178827,"Crusader Kings III: Royal Court"
"Negative reviews","people",87,0.00199871347178827,"Crusader Kings III: Royal Court"
"Negative reviews","first",85,0.00195276603565521,"Crusader Kings III: Royal Court"
"Negative reviews","lot",84,0.00192979231758868,"Crusader Kings III: Royal Court"
"Negative reviews","cool",83,0.00190681859952215,"Crusader Kings III: Royal Court"
"Negative reviews","things",83,0.00190681859952215,"Crusader Kings III: Royal Court"
"Negative reviews","actually",82,0.00188384488145561,"Crusader Kings III: Royal Court"
"Negative reviews","added",82,0.00188384488145561,"Crusader Kings III: Royal Court"
"Negative reviews","bad",82,0.00188384488145561,"Crusader Kings III: Royal Court"
"Negative reviews","every",82,0.00188384488145561,"Crusader Kings III: Royal Court"
"Negative reviews","many",82,0.00188384488145561,"Crusader Kings III: Royal Court"
"Negative reviews","look",81,0.00186087116338908,"Crusader Kings III: Royal Court"
"Negative reviews","courts",78,0.00179195000918949,"Crusader Kings III: Royal Court"
"Negative reviews","say",78,0.00179195000918949,"Crusader Kings III: Royal Court"
"Negative reviews","great",77,0.00176897629112296,"Crusader Kings III: Royal Court"
"Negative reviews","recommend",77,0.00176897629112296,"Crusader Kings III: Royal Court"
"Negative reviews","since",77,0.00176897629112296,"Crusader Kings III: Royal Court"
"Negative reviews","tribal",77,0.00176897629112296,"Crusader Kings III: Royal Court"
"Negative reviews","less",76,0.00174600257305642,"Crusader Kings III: Royal Court"
"Negative reviews","bugs",75,0.00172302885498989,"Crusader Kings III: Royal Court"
"Negative reviews","expensive",74,0.00170005513692336,"Crusader Kings III: Royal Court"
"Negative reviews","event",72,0.0016541077007903,"Crusader Kings III: Royal Court"
"Negative reviews","5",71,0.00163113398272376,"Crusader Kings III: Royal Court"
"Negative reviews","made",71,0.00163113398272376,"Crusader Kings III: Royal Court"
"Negative reviews","well",71,0.00163113398272376,"Crusader Kings III: Royal Court"
"Negative reviews","gameplay",70,0.00160816026465723,"Crusader Kings III: Royal Court"
"Negative reviews","going",70,0.00160816026465723,"Crusader Kings III: Royal Court"
"Negative reviews","pretty",70,0.00160816026465723,"Crusader Kings III: Royal Court"
"Negative reviews","flavor",69,0.0015851865465907,"Crusader Kings III: Royal Court"
"Negative reviews","3",68,0.00156221282852417,"Crusader Kings III: Royal Court"
"Negative reviews","full",68,0.00156221282852417,"Crusader Kings III: Royal Court"
"Negative reviews","king",68,0.00156221282852417,"Crusader Kings III: Royal Court"
"Positive reviews","dlc",759,0.0218385843763487,"Crusader Kings III: Royal Court"
"Positive reviews","game",738,0.021234354769098,"Crusader Kings III: Royal Court"
"Positive reviews","court",610,0.0175514314487124,"Crusader Kings III: Royal Court"
"Positive reviews","price",322,0.00926485397784491,"Crusader Kings III: Royal Court"
"Positive reviews","like",319,0.00917853546252338,"Crusader Kings III: Royal Court"
"Positive reviews","good",314,0.00903467127032082,"Crusader Kings III: Royal Court"
"Positive reviews","new",307,0.00883326140123723,"Crusader Kings III: Royal Court"
"Positive reviews","can",301,0.00866062437059416,"Crusader Kings III: Royal Court"
"Positive reviews","royal",291,0.00837289598618904,"Crusader Kings III: Royal Court"
"Positive reviews","really",255,0.0073370738023306,"Crusader Kings III: Royal Court"
"Positive reviews","content",246,0.00707811825636599,"Crusader Kings III: Royal Court"
"Positive reviews","culture",244,0.00702057257948497,"Crusader Kings III: Royal Court"
"Positive reviews","much",228,0.00656020716443677,"Crusader Kings III: Royal Court"
"Positive reviews","get",227,0.00653143432599626,"Crusader Kings III: Royal Court"
"Positive reviews","adds",223,0.00641634297223421,"Crusader Kings III: Royal Court"
"Positive reviews","just",221,0.00635879729535319,"Crusader Kings III: Royal Court"
"Positive reviews","paradox",204,0.00586965904186448,"Crusader Kings III: Royal Court"
"Positive reviews","lot",201,0.00578334052654294,"Crusader Kings III: Royal Court"
"Positive reviews","great",194,0.00558193065745936,"Crusader Kings III: Royal Court"
"Positive reviews","worth",189,0.0054380664652568,"Crusader Kings III: Royal Court"
"Positive reviews","ck3",179,0.00515033808085168,"Crusader Kings III: Royal Court"
"Positive reviews","think",168,0.00483383685800604,"Crusader Kings III: Royal Court"
"Positive reviews","expansion",164,0.00471874550424399,"Crusader Kings III: Royal Court"
"Positive reviews","people",160,0.00460365415048195,"Crusader Kings III: Royal Court"
"Positive reviews","artifacts",157,0.00451733563516041,"Crusader Kings III: Royal Court"
"Positive reviews","time",157,0.00451733563516041,"Crusader Kings III: Royal Court"
"Positive reviews","fun",139,0.00399942454323119,"Crusader Kings III: Royal Court"
"Positive reviews","one",139,0.00399942454323119,"Crusader Kings III: Royal Court"
